Epochs,loss,acc,val_loss,val_acc
0,0.6176754236221313,0.7302530407905579,0.6425986289978027,0.6233552694320679
1,0.4700776934623718,0.7636119723320007,0.504852831363678,0.7072368264198303
2,0.40904876589775085,0.7921779155731201,0.5544224977493286,0.6973684430122375
3,0.4060421884059906,0.7944785356521606,0.5691930651664734,0.7039473652839661
4,0.3802027702331543,0.8159509301185608,0.4414854049682617,0.7911184430122375
5,0.37494534254074097,0.8232361674308777,0.41877761483192444,0.8223684430122375
6,0.3539790213108063,0.8360812664031982,0.4478004276752472,0.7894737124443054
7,0.34810948371887207,0.8307132124900818,0.41414690017700195,0.8157894611358643
8,0.3340734839439392,0.8418328166007996,0.42151108384132385,0.8009868264198303
9,0.3782992959022522,0.8406825065612793,0.38913559913635254,0.8289473652839661
10,0.3201693296432495,0.8510352969169617,0.4647556245326996,0.7976973652839661
11,0.31899386644363403,0.8539110422134399,0.5090738534927368,0.78125
12,0.3117627203464508,0.8518021702766418,0.45466452836990356,0.8075658082962036
13,0.3236379027366638,0.8485429286956787,0.4287457764148712,0.8108552694320679
14,0.3116495907306671,0.8594708442687988,0.40657171607017517,0.8289473652839661
15,0.3092469871044159,0.8608129024505615,0.5334177613258362,0.7763158082962036
16,0.2949872314929962,0.8623466491699219,0.5233924984931946,0.7894737124443054
17,0.30164799094200134,0.8590874075889587,0.43907788395881653,0.8141447305679321
18,0.2994743585586548,0.8648389577865601,0.3775137662887573,0.8338815569877625
19,0.29858410358428955,0.8677147030830383,0.37833642959594727,0.8338815569877625
