iterations,fx,dfx
0,0.0002778931008896434,0.019999104972405136
1,0.0002779070861759292,0.019999641180955773
2,0.00027792102238493287,0.020000109755670067
3,0.000277914660962021,0.019999913766327874
4,0.00027789328728986505,0.019999111680373095
5,0.00027788702577795973,0.019998919271863695
6,0.00027791820955386844,0.020000041464264467
7,0.00027791507324925833,0.019999895674232496
8,0.00027789996427097455,0.01999935196280565
9,0.00027791311256313445,0.019999825117850412
10,0.0002779079791906183,0.019999673317071646
11,0.0002778991263970021,0.019999354737274423
12,0.0002779155301058118,0.019999945042997878
13,0.0002779029212948512,0.01999945837537779
14,0.0002779109210184292,0.019999779181616502
15,0.0002778900237029418,0.019999027159180654
16,0.0002779146520940617,0.0199999134472087
17,0.0002778895127821023,0.019999008772544676
18,0.00027788374149747153,0.019998768153913313
19,0.00027790588572018486,0.019999597981153847
20,0.0002779000694882244,0.01999935574920291
21,0.00027788292649498676,0.019998771748671276
22,0.0002779065075450976,0.019999620358261184
23,0.00027789261974132777,0.019999120583201746
24,0.0002779055847135633,0.019999554221679726
25,0.00027790584806823906,0.019999563698787144
26,0.0002779046776369776,0.01999955450677472
27,0.0002779081491508274,0.019999646505582218
28,0.0002779212765651757,0.020000118902371525
29,0.0002779013811240365,0.019999402950282852
30,0.00027790080112021723,0.01999941500485201
31,0.0002779207837521058,0.020000101168440056
32,0.00027790986638853796,0.01999970830190279
33,0.0002778846410172514,0.01999880052537448
34,0.0002778995840065088,0.01999933827842463
35,0.00027789428734373376,0.019999180595228462
36,0.0002779161396695342,0.01999996697849138
37,0.0002779013548683991,0.01999940200543752
38,0.000277905222526997,0.019999541187990723
39,0.0002778881576999898,0.01999896000678421
40,0.00027789141302101555,0.01999904423112703
41,7.876468049251688,0.019122178190851807
42,0.00027790592774530175,0.019999599493478383
43,0.00027791916907875247,0.020000043064135088
44,0.00027790286940966146,0.019999456508222747
45,0.00027788186158457864,0.019998733424965935
46,0.0002778947402657826,0.01999916396840903
47,0.0002778953068973758,0.01999921728582831
48,0.0002779025871095077,0.019999479276316286
49,0.00027788720357070553,0.019998892744960257
50,0.0002779099035278062,0.019999742566286848
51,0.0002778838676793542,0.019998805619696518
52,0.00027789809192869074,0.01999931751019672
53,7.875664632527448,0.019209191026840964
54,0.00027788292010026607,0.019998738593841804
55,0.0002779044418077022,0.019999546020153455
56,0.00027789550308995187,0.01999922434618801
57,0.00027790819725119747,0.019999648236519278
58,0.0002779086191906522,0.019999663420400736
59,0.0002778881969390766,0.019998928493571336
60,0.0002779157252703803,0.019999919137520587
61,7.876448903528812,0.019135844900337026
62,0.0002778990070682009,0.01999931751642577
63,7.876494384601985,0.019132290546274435
64,0.00027789865286072853,0.01999933769628573
65,0.0002778874494240311,0.019998901592555088
66,0.00027790348911908066,0.019999478809249165
67,0.0002778887857628693,0.01999894968369925
68,0.0002778994102212006,0.019999332024499432
69,0.00027789428318811087,0.019999147519635163
70,0.0002778926331796928,0.019999121066809063
71,0.00027788604869483004,0.0199988511840555
72,0.0002779164031959632,0.01999994353296368
73,0.00027791494481050824,0.019999891052300184
74,0.00027788760806317977,0.01999894022679983
75,0.0002779105477827429,0.019999732822424142
76,0.0002779108057747032,0.019999775034469112
77,0.00027790208936464764,0.01999942843728223
78,0.00027789422442262533,0.019999145404850954
79,0.00027789068820327414,0.019999018147075873
80,0.00027791293658372025,0.019999851713377183
81,0.00027790301489983345,0.019999494670952748
82,0.0002778824502211131,0.019998721684023616
83,0.000277901855774235,0.019999420031217813
84,0.0002779087948764254,0.019999669742612396
85,0.0002778873702344014,0.019998931667961104
86,0.0002778907573219875,0.01999902063445583
87,0.0002779019467516004,0.01999942330516075
88,0.00027791172721350604,0.019999775265122526
89,0.0002778846023854687,0.019998832082670257
90,0.0002779141124169037,0.019999861098176235
91,0.00027789062054281964,0.019999015712174082
92,0.0002778881670309234,0.01999892741725958
93,0.00027790909610152497,0.019999680582465724
94,0.0002778845506246526,0.01999883019726532
95,0.0002779087036366883,0.019999699387022524
96,0.00027788279596123455,0.019998767051062162
97,0.0002779057840607132,0.019999594322814798
98,0.000277902104367643,0.01999942897718597
99,0.0002779193724281766,0.020000083310728244
