Iteration,Function,Gradient
0,383691.1986086967,2660.244810771171
1,314876.18334595405,2771.081259050717
2,270134.48137625837,2587.2218075827477
3,229277.78617799998,2469.384491883463
4,202244.1516751696,2381.3810287028723
5,183102.16027028495,2272.4911184052908
6,167033.02776607434,2199.3344396938624
7,155816.17878590195,2071.124403093305
8,147340.73370706008,2008.3361330364241
9,144067.69452543632,1936.7499931978307
10,129040.99282878966,1524.2647605533066
11,112144.52641687819,685.810366757741
12,109113.27719994231,327.93704425372727
13,108483.77326127415,243.0366939877092
14,108163.35890543694,175.810191438805
15,107935.14207955575,137.1941367486704
16,107776.27248798379,119.86669402792614
17,107626.87174706595,116.64352415367433
18,107486.84951057825,103.8301395848278
19,107387.3465275651,85.5510971705813
20,107317.60980815979,72.16044017553453
21,107268.4708380423,58.87121318424973
22,107235.87207576707,48.6799021793613
23,107213.06923591929,40.38401742368169
24,107197.69940398,32.27608065266348
25,107188.35782457364,24.43665914130437
26,107182.99877388867,18.83716204480266
27,107179.6719876075,15.137888053395878
28,107177.48621632165,12.371810222486989
29,107176.02176948411,10.08191829307567
30,107175.05437766922,8.132126876209131
31,107174.44002749099,6.376342070944586
32,107174.06418597967,5.0303688217896605
33,107173.82322473479,4.101963200987224
34,107173.6601444811,3.384937114582411
35,107173.55016335139,2.749620107427488
36,107173.47923621524,2.1859665053587523
37,107173.43460840992,1.729687226944706
38,107173.40663536776,1.3803517381785966
39,107173.38837255482,1.128017766414159
40,107173.37613835337,0.9238805918367492
41,107173.36795671322,0.7486362348332288
42,107173.36268316908,0.596786648668252
43,107173.35935381103,0.4745774221348481
44,107173.35722929011,0.38184645403576517
45,107173.35583233129,0.31127351815953763
46,107173.35490083156,0.25396526749695936
47,107173.3542875096,0.20479755368963945
48,107173.35389507737,0.1623964589353526
49,107173.35364745175,0.12959861247011617
50,107173.35348839851,0.10467272307343371
51,107173.35338359828,0.08520412992003433
52,107173.35331435039,0.06886202119079615
53,107173.35326954078,0.05511459840458064
54,107173.353241088,0.043817317704011545
55,107173.35322300902,0.03516720876859774
56,107173.35321126216,0.028460784674686927
57,107173.35320349965,0.023202279296019448
58,107173.3531983589,0.018769540007270026
59,107173.35319502966,0.01504071471278884
60,107173.35319289792,0.012044261982107824
61,107173.35319152691,0.009691870482501436
